,name,author
0,"Dictionary of spoken Spanish : Spanish-English, English-Spanish",United States. War Dept
1,The inferno,"Dante Alighieri, 1265-1321; Ciardi, John, 1916-1986"
2,,
3,Vol 51: The Arabian stud book,Arabian Horse Club of America; Arabian Horse Club Registry of America
4,,
5,Scott's standard postage stamp catalogue,"Scott Publishing Co; Scott Stamp &amp; Coin Company, Limited; Scott Publications, Inc"
6,The reptile room,"Snicket, Lemony; Helquist, Brett, ill"
7,"Virgil's Æneid, books I-VI; the original text with a literal interlinear translation","Virgil; Dewey, Frederick Holland"
8,Grimms' complete fairy tales,"Grimm, Jacob, 1785-1863; Grimm, Wilhelm, 1786-1859"
9,QST,American Radio Relay League
10,Complete French grammar,"Fraser, W. H. (William Henry), 1853-1916; Squair, John, 1850-1928; Coleman, A. (Algernon), 1876-1939"
11,"Graphology : how to read character from handwriting, with full explanation of the science, and many examples fully analyzed","Howard, Clifford, 1868-1942"
12,Trees and tree drawing;,"Clifford, Edward C"
13,A people and a nation : a history of the United States,Mary Beth Norton ... [et al.].
14,Joseph Andrews,"Fielding, Henry, 1707-1754"
15,A new dictionary of the English and Italian languages,"Enenkel, Arthur, b. 1856"
16,Roster of Ohio soldiers in the War of 1812,Ohio. Adjutant General's Office
17,Sons and lovers,"Lawrence, D. H. (David Herbert), 1885-1930"
18,How To Study In College,PAUK
19,Vol 565-568: Vanity fair,
20,Vol 47: The Arabian stud book,Arabian Horse Registry of America; Arabian Horse Club Registry of America
21,Hotel & motel red book,American Hotel &amp; Motel Association
22,"Communism, fascism, and democracy, the theoretical foundations. Carl Cohen [Texte imprimé]","Cohen, Carl (1931-....). Ed"
23,Junie B. Jones has a peep in her pocket,"Park, Barbara; Brunkus, Denise, illustrator"
24,Alice im Spiegelland,"Carroll, Lewis, 1832-1898; Scheu-Riesz, Helene; Birnbaum, Uriel, 1894-1956"
25,The Best plays of ..,Otis Guernsey Jr
26,Vol 553-556: Vanity fair,
27,Vol 7th Edition; 1967: The official Boy Scout handbook,Boy Scouts of America
28,Vol 217: The connoisseur : an illustrated magazine for collectors,
29,Vol 541-544: Vanity fair,
30,Advanced algebra,"Senk, Sharon L. (Sharon Louise), 1943-; Thompson, Denisse R. (Denisse Rubilee), 1954-; Viktora, Steven S; University of Chicago. School Mathematics Project"
31,Vol 148: Forbes,"Forbes, B. C. (Bertie Charles), 1880-1954"
32,Vol 147: Forbes,"Forbes, B. C. (Bertie Charles), 1880-1954"
33,Vol 215: The connoisseur : an illustrated magazine for collectors,
34,Dracula,"Stoker, Bram, 1847-1912"
35,"Raphael's ancient manuscript of talismanic magic, containing nearly one hundred rare talismanic diagrams, seals of spirits, charms, magical squares, and pentacles for orations and invocation of elementary spirits, and the magical ritual of their conjuration. Explaining their influence and hidden powers. Recondite wisdom, by Raphael","Raphael, 1483-1520; De Laurence, Lauron William, 1868-"
36,Vol 537-540: Vanity fair,
37,Vol 561-564: Vanity fair,
38,Vol 545-548: Vanity fair,
39,Call me by your name,"Aciman, André"
40,Vol 118: The Ladies' home journal,"Wyeth, N. C. (Newell Convers), 1882-1945"
41,Vol 294-295: Harper's magazine,"Alden, Henry Mills, 1836-1919; Wells, Thomas B. (Thomas Bucklin), 1875-1944; Hartman, Lee Foster, 1879-1941; Allen, Frederick Lewis, 1890-1954; Rouben Mamoulian Collection (Library of Congress) DLC"
42,Vol 146: Forbes,"Forbes, B. C. (Bertie Charles), 1880-1954"
43,Vol 3: The boy mechanic: 800 things for boys to do,Popular Mechanics Magazine (Firm)
44,Vol 120: The Ladies' home journal,"Wyeth, N. C. (Newell Convers), 1882-1945"
45,Madame Bovary : a study of provincial life,"Flaubert, Gustave, 1821-1880; Ranous, Dora Knowlton, 1859-1916"
46,Vol 50: Revue celtique,
47,"Engineers hand-book of tables, charts and data on the application of centrifugal fans and fan system apparatus, including engines and motors, air washers, hot blast heaters and systems of air distribution ..","Buffalo Forge Company; Carrier, Willis Haviland, 1876-1950, ed"
48,Vol 9: Who was who in America : a companion biographical reference work to who's who in america,PERIODICAL/PÉRIODIQUE
49,Vol 146: Forbes,"Forbes, B. C. (Bertie Charles), 1880-1954"
50,Blood and sand; a novel,"Blasco Ibáñez, Vicente, 1867-1928; Gillespie, W. A., Mrs, tr"
51,Vol 42: Revue celtique,
52,Vol 215: The connoisseur : an illustrated magazine for collectors,
53,Area handbook for Nepal (with Sikkim and Bhutan),"American University (Washington, D.C.). Foreign Areas Studies Division; United States. Army"
54,The battle for investment survival,"Loeb, Gerald M"
55,Things fall apart,"Achebe, Chinua"
56,Personal Finance,GARMAN
57,"Vol 30: San Francisco municipal reports Fiscal Year 1879-80, Ending June 30, 1880",San Francisco (Calif.); San Francisco (Calif.). Board of Supervisors
58,Pimp : the story of my life,"Iceberg Slim, 1918-1992"
59,Graphic design for the electronic age,"White, Jan V., 1928-"
60,Vol 121: The Ladies' home journal,"Wyeth, N. C. (Newell Convers), 1882-1945"
61,Elisi katika nchi ya ajabu,"Carroll, Lewis, 1832-1898"
62,"Vol 57: San Francisco municipal reports Fiscal Year 1907-08, Ending June 30, 1908",San Francisco (Calif.); San Francisco (Calif.). Board of Supervisors
63,Vol 123: The Ladies' home journal,"Wyeth, N. C. (Newell Convers), 1882-1945"
64,Do androids dream of electric sheep?,"Dick, Philip K; Reprint of (manifestation): Dick, Philip K. Electric shepherd"
65,Vol 217: The connoisseur : an illustrated magazine for collectors,
66,Vol 218: The connoisseur : an illustrated magazine for collectors,
67,Vol 216: The connoisseur : an illustrated magazine for collectors,
68,Vol 67: The Ladies' home journal,"Wyeth, N. C. (Newell Convers), 1882-1945"
69,"A Spanish grammar, with practical introductory lessons","Coester, Alfred, 1874-1958"
70,Vol 557-560: Vanity fair,
71,Vol 194: Architectural record,
72,Vol 145: Forbes,"Forbes, B. C. (Bertie Charles), 1880-1954"
